,cod,message,coord,weather,base,main,visibility,wind,rain,clouds,dt,sys,timezone,id,name,snow
0,404,city not found,,,,,,,,,,,,,,
1,200,,"{'lon': 172.7902, 'lat': 3.0707}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 27.43, 'feels_like': 30.48, 'temp_min': 27.43, 'temp_max': 27.43, 'pressure': 1010, 'humidity': 78, 'sea_level': 1010, 'grnd_level': 1009}",10000.0,"{'speed': 2.96, 'deg': 85, 'gust': 3.24}",{'1h': 1.75},{'all': 100},1619230372.0,"{'country': 'KI', 'sunrise': 1619202040, 'sunset': 1619245984}",43200.0,2110227.0,Butaritari,
2,200,,"{'lon': -96.4661, 'lat': 15.7432}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 27.78, 'feels_like': 30.75, 'temp_min': 27.78, 'temp_max': 27.78, 'pressure': 1009, 'humidity': 74}",10000.0,"{'speed': 1.79, 'deg': 312, 'gust': 2.68}",,{'all': 100},1619230373.0,"{'type': 3, 'id': 2005410, 'country': 'MX', 'sunrise': 1619179550, 'sunset': 1619224922}",-18000.0,3517970.0,Pochutla,
3,200,,"{'lon': 13.2343, 'lat': -8.8368}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 25, 'feels_like': 25.85, 'temp_min': 25, 'temp_max': 25, 'pressure': 1007, 'humidity': 88}",10000.0,"{'speed': 3.09, 'deg': 70}",,{'all': 40},1619230281.0,"{'type': 1, 'id': 2173, 'country': 'AO', 'sunrise': 1619240984, 'sunset': 1619283617}",3600.0,2240449.0,Luanda,
4,200,,"{'lon': -83.9705, 'lat': 35.7565}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 9.16, 'feels_like': 8.16, 'temp_min': 7.22, 'temp_max': 10, 'pressure': 1019, 'humidity': 66}",10000.0,"{'speed': 2.06, 'deg': 90}",,{'all': 75},1619230373.0,"{'type': 1, 'id': 6098, 'country': 'US', 'sunrise': 1619175145, 'sunset': 1619223330}",-14400.0,4639848.0,Maryville,
5,404,city not found,,,,,,,,,,,,,,
6,200,,"{'lon': -79.2353, 'lat': 42.097}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 7, 'feels_like': 3.56, 'temp_min': 7, 'temp_max': 7, 'pressure': 1017, 'humidity': 49}",10000.0,"{'speed': 5.66, 'deg': 230}",,{'all': 75},1619230106.0,"{'type': 1, 'id': 4588, 'country': 'US', 'sunrise': 1619173406, 'sunset': 1619222796}",-14400.0,5122534.0,Jamestown,
7,200,,"{'lon': 19.2345, 'lat': -34.4187}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 12.78, 'feels_like': 12.46, 'temp_min': 12.78, 'temp_max': 12.78, 'pressure': 1013, 'humidity': 90}",10000.0,"{'speed': 0.45, 'deg': 123, 'gust': 0.89}",,{'all': 95},1619230374.0,"{'type': 3, 'id': 2003650, 'country': 'ZA', 'sunrise': 1619241180, 'sunset': 1619280542}",7200.0,3366880.0,Hermanus,
8,200,,"{'lon': -175.2, 'lat': -21.2}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 29, 'feels_like': 34.53, 'temp_min': 29, 'temp_max': 29, 'pressure': 1013, 'humidity': 79}",10000.0,"{'speed': 3.09, 'deg': 140}",,{'all': 20},1619230375.0,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1619286942, 'sunset': 1619328098}",46800.0,4032243.0,Vaini,
9,200,,"{'lon': 125.4092, 'lat': -8.9266}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 23.43, 'feels_like': 23.08, 'temp_min': 23.43, 'temp_max': 23.43, 'pressure': 1014, 'humidity': 48, 'sea_level': 1014, 'grnd_level': 862}",10000.0,"{'speed': 1.4, 'deg': 136, 'gust': 3.01}",,{'all': 5},1619230375.0,"{'country': 'TL', 'sunrise': 1619214067, 'sunset': 1619256698}",32400.0,1651810.0,Airai,
